,id_municipio,tratamento,coord,distancia,incluso
102,5209457,False,"(-0.2570730361847488, -0.8674391102166937)",144.8449285180839,1
103,5209606,False,"(-0.2743483051209887, -0.8696417157327105)",194.16586052579538,1
104,5209705,False,"(-0.2960532196987901, -0.8591645042329886)",310.1949109589622,1
105,5209804,False,"(-0.257018930977937, -0.8632991892309632)",169.54903949806626,1
106,5209903,False,"(-0.2461106231529724, -0.8139081167287756)",471.7029197494417,1
107,5209937,False,"(-0.3226572734869397, -0.8724691491209414)",182.75199256053787,1
108,5209952,False,"(-0.29912674451155213, -0.8724237705603894)",251.80626099512523,1
109,5210000,False,"(-0.2855550642480443, -0.8639397250664452)",259.12723971407297,1
110,5210109,False,"(-0.3092985233921751, -0.8405174065046812)",386.24705426133784,1
111,5210158,False,"(-0.26474724890576784, -0.8668963128193236)",167.2166330605112,1
