id_municipio,latitude,longitude,fuso_horario,uf,regiao
5214838,-14.0957,-50.33,America/Sao_Paulo,GO,Centro-Oeste
5214861,-15.145,-49.5737,America/Sao_Paulo,GO,Centro-Oeste
5214879,-14.2868,-49.3872,America/Sao_Paulo,GO,Centro-Oeste
5214903,-13.7388,-46.8734,America/Sao_Paulo,GO,Centro-Oeste
5215009,-16.3695,-49.3168,America/Sao_Paulo,GO,Centro-Oeste
5215207,-16.0313,-50.7113,America/Sao_Paulo,GO,Centro-Oeste
5215231,-16.0592,-48.0417,America/Sao_Paulo,GO,Centro-Oeste
5215256,-13.2424,-49.506,America/Sao_Paulo,GO,Centro-Oeste
5215306,-17.0334,-48.2964,America/Sao_Paulo,GO,Centro-Oeste
5215405,-16.2181,-49.1942,America/Sao_Paulo,GO,Centro-Oeste
5215504,-18.2277,-47.8355,America/Sao_Paulo,GO,Centro-Oeste
5215603,-15.1605,-48.2833,America/Sao_Paulo,GO,Centro-Oeste
5215652,-16.7392,-51.5309,America/Sao_Paulo,GO,Centro-Oeste
5215702,-16.8044,-49.924,America/Sao_Paulo,GO,Centro-Oeste
5215801,-17.3258,-48.426,America/Sao_Paulo,GO,Centro-Oeste
5215900,-16.7924,-50.1652,America/Sao_Paulo,GO,Centro-Oeste
5216007,-18.1783,-49.355,America/Sao_Paulo,GO,Centro-Oeste
5216304,-18.9141,-50.6539,America/Sao_Paulo,GO,Centro-Oeste
5216403,-16.9463,-50.4484,America/Sao_Paulo,GO,Centro-Oeste
5216452,-17.5258,-52.065,America/Sao_Paulo,GO,Centro-Oeste
5216809,-16.0968,-49.3364,America/Sao_Paulo,GO,Centro-Oeste
5216908,-14.7608,-49.5784,America/Sao_Paulo,GO,Centro-Oeste
5217104,-17.302,-49.017,America/Sao_Paulo,GO,Centro-Oeste
5217203,-16.4258,-51.8235,America/Sao_Paulo,GO,Centro-Oeste
5217302,-15.8507,-48.9584,America/Sao_Paulo,GO,Centro-Oeste
5217401,-17.3019,-48.2768,America/Sao_Paulo,GO,Centro-Oeste
5217609,-15.452,-47.6089,America/Sao_Paulo,GO,Centro-Oeste
5217708,-17.5225,-49.4489,America/Sao_Paulo,GO,Centro-Oeste
5218003,-13.4391,-49.1503,America/Sao_Paulo,GO,Centro-Oeste
5218052,-17.8143,-50.1653,America/Sao_Paulo,GO,Centro-Oeste
5218102,-17.3554,-52.6799,America/Sao_Paulo,GO,Centro-Oeste
5218300,-14.0859,-46.3704,America/Sao_Paulo,GO,Centro-Oeste
5218391,-17.2497,-49.244,America/Sao_Paulo,GO,Centro-Oeste
5218508,-18.4472,-50.4547,America/Sao_Paulo,GO,Centro-Oeste
5218607,-15.3145,-49.5814,America/Sao_Paulo,GO,Centro-Oeste
5218706,-15.4456,-49.5114,America/Sao_Paulo,GO,Centro-Oeste
5218789,-17.774,-48.7725,America/Sao_Paulo,GO,Centro-Oeste
5218805,-17.7923,-50.9192,America/Sao_Paulo,GO,Centro-Oeste
5218904,-15.1617,-49.8048,America/Sao_Paulo,GO,Centro-Oeste
5219001,-16.197,-50.3124,America/Sao_Paulo,GO,Centro-Oeste
5219100,-16.5714,-49.6954,America/Sao_Paulo,GO,Centro-Oeste
5219209,-17.3155,-48.4809,America/Sao_Paulo,GO,Centro-Oeste
5219258,-15.7664,-51.1037,America/Sao_Paulo,GO,Centro-Oeste
5219308,-17.8115,-50.5977,America/Sao_Paulo,GO,Centro-Oeste
5219357,-15.2958,-49.4259,America/Sao_Paulo,GO,Centro-Oeste
5219407,-17.3269,-53.2012,America/Sao_Paulo,GO,Centro-Oeste
5219456,-15.1351,-49.1203,America/Sao_Paulo,GO,Centro-Oeste
5219506,-16.084,-49.4953,America/Sao_Paulo,GO,Centro-Oeste
5219605,-13.7138,-49.0144,America/Sao_Paulo,GO,Centro-Oeste
5219704,-14.4326,-49.7091,America/Sao_Paulo,GO,Centro-Oeste
5219712,-17.5585,-50.6345,America/Sao_Paulo,GO,Centro-Oeste
5219738,-16.4815,-49.3096,America/Sao_Paulo,GO,Centro-Oeste
5219753,-15.9412,-48.2578,America/Sao_Paulo,GO,Centro-Oeste
5219803,-13.621,-46.7415,America/Sao_Paulo,GO,Centro-Oeste
5219902,-15.9256,-49.2605,America/Sao_Paulo,GO,Centro-Oeste
5220009,-14.7048,-47.5228,America/Sao_Paulo,GO,Centro-Oeste
5220058,-16.8126,-50.4092,America/Sao_Paulo,GO,Centro-Oeste
5220108,-16.5211,-50.3726,America/Sao_Paulo,GO,Centro-Oeste
5220157,-14.8608,-49.3285,America/Sao_Paulo,GO,Centro-Oeste
5220207,-13.2731,-50.1634,America/Sao_Paulo,GO,Centro-Oeste
5220264,-17.0582,-48.662,America/Sao_Paulo,GO,Centro-Oeste
5220280,-15.35,-49.818,America/Sao_Paulo,GO,Centro-Oeste
5220405,-18.996,-50.547,America/Sao_Paulo,GO,Centro-Oeste
5220454,-16.7084,-49.0914,America/Sao_Paulo,GO,Centro-Oeste
5220504,-18.3067,-51.9586,America/Sao_Paulo,GO,Centro-Oeste
5220603,-16.66,-48.6083,America/Sao_Paulo,GO,Centro-Oeste
5220686,-14.4644,-46.4847,America/Sao_Paulo,GO,Centro-Oeste
5220702,-14.7992,-46.2506,America/Sao_Paulo,GO,Centro-Oeste
5221007,-16.0521,-49.6039,America/Sao_Paulo,GO,Centro-Oeste
5221080,-13.7801,-47.2659,America/Sao_Paulo,GO,Centro-Oeste
5221197,-16.3945,-49.0797,America/Sao_Paulo,GO,Centro-Oeste
5221304,-18.3539,-47.776,America/Sao_Paulo,GO,Centro-Oeste
5221403,-16.6517,-49.4927,America/Sao_Paulo,GO,Centro-Oeste
5221452,-13.5079,-48.7417,America/Sao_Paulo,GO,Centro-Oeste
